"","Coral Region","Genus","Year","Number of Samples","Minimum Value (Percent Cover)","Maximum Value (Percent Cover)","Median (Percent Cover)","Mean (Percent Cover)","Standard Deviation (Percent Cover)","Programs with Data"
"1","DRY TORT","Acropora",2000,32,0,1,0,0.03125,0.176776695296637,"169"
"2","DRY TORT","Acropora",2002,16,0,1,0,0.125,0.341565025531987,"169"
"3","DRY TORT","Acropora",2006,36,0,0,0,0,0,"169"
"4","DRY TORT","Agaricia",2000,96,0,1,0,0.03125,0.174905989786393,"169"
"5","DRY TORT","Agaricia",2002,48,0,1,0,0.0625,0.244623027395041,"169"
"6","DRY TORT","Agaricia",2006,108,0,2,0,0.0277777777777778,0.214359874424389,"169"
"7","DRY TORT","Agaricia",2014,7,1,2,1,1.14285714285714,0.377964473009227,"3022"
"8","DRY TORT","Agaricia",2016,8,1,5,1.5,1.875,1.35620268186054,"3022"
"9","DRY TORT","Agaricia",2018,14,1,3,1,1.35714285714286,0.744946343668492,"3022"
"10","DRY TORT","Antillogorgia",2000,80,0,0,0,0,0,"169"
"11","DRY TORT","Antillogorgia",2002,40,0,0,0,0,0,"169"
"12","DRY TORT","Antillogorgia",2006,90,0,1,0,0.0111111111111111,0.105409255338946,"169"
"13","DRY TORT","Briareum",2000,16,0,0,0,0,0,"169"
"14","DRY TORT","Briareum",2002,8,0,1,0,0.125,0.353553390593274,"169"
"15","DRY TORT","Briareum",2006,18,0,8,0,0.888888888888889,1.96704881631129,"169"
"16","DRY TORT","Cladocora",2000,16,0,0,0,0,0,"169"
"17","DRY TORT","Cladocora",2002,8,0,0,0,0,0,"169"
"18","DRY TORT","Cladocora",2006,18,0,0,0,0,0,"169"
"19","DRY TORT","Colpophyllia",2000,16,0,2,0,0.25,0.577350269189626,"169"
"20","DRY TORT","Colpophyllia",2002,8,0,4,0.5,1,1.4142135623731,"169"
"21","DRY TORT","Colpophyllia",2006,18,0,2,0,0.444444444444444,0.783823376129674,"169"
"22","DRY TORT","Colpophyllia",2014,5,1,3,2,2,0.707106781186548,"3022"
"23","DRY TORT","Colpophyllia",2016,4,1,5,2.5,2.75,1.70782512765993,"3022"
"24","DRY TORT","Colpophyllia",2018,8,1,10,3,4.25,2.91547594742265,"3022"
"25","DRY TORT","Dendrogyra",2000,16,0,0,0,0,0,"169"
"26","DRY TORT","Dendrogyra",2002,8,0,0,0,0,0,"169"
"27","DRY TORT","Dendrogyra",2006,18,0,0,0,0,0,"169"
"28","DRY TORT","Dichocoenia",2000,16,0,0,0,0,0,"169"
"29","DRY TORT","Dichocoenia",2002,8,0,0,0,0,0,"169"
"30","DRY TORT","Dichocoenia",2006,18,0,0,0,0,0,"169"
"31","DRY TORT","Dichocoenia",2014,1,1,1,1,1,NA,"3022"
"32","DRY TORT","Dichocoenia",2016,1,1,1,1,1,NA,"3022"
"33","DRY TORT","Dichocoenia",2018,1,1,1,1,1,NA,"3022"
