"","Coral Region","Genus","Year","Number of Samples","Minimum Value (Percent Cover)","Maximum Value (Percent Cover)","Median (Percent Cover)","Mean (Percent Cover)","Standard Deviation (Percent Cover)","Programs with Data"
"1","FLA KEYS","Acropora",1999,160,0,2,0,0.01875,0.176331413241083,"169"
"2","FLA KEYS","Acropora",2000,92,0,1,0,0.0217391304347826,0.14662959759729,"169"
"3","FLA KEYS","Acropora",2001,166,0,4,0,0.0481927710843374,0.344783268167166,"169"
"4","FLA KEYS","Acropora",2002,54,0,0,0,0,0,"169"
"5","FLA KEYS","Acropora",2005,322,0,5,0,0.0372670807453416,0.368345611068356,"169"
"6","FLA KEYS","Acropora",2009,316,0,5,0,0.0411392405063291,0.349444865299042,"169"
"7","FLA KEYS","Acropora",2014,14,1,7,1,2.07142857142857,1.85904382843546,"3022"
"8","FLA KEYS","Acropora",2015,3,2,7,6,5,2.64575131106459,"3022"
"9","FLA KEYS","Acropora",2016,1,3,3,3,3,NA,"3022"
"10","FLA KEYS","Agaricia",1999,480,0,1,0,0.0270833333333333,0.162495650602893,"169"
"11","FLA KEYS","Agaricia",2000,276,0,1,0,0.0108695652173913,0.103877398090211,"169"
"12","FLA KEYS","Agaricia",2001,498,0,2,0,0.0662650602409639,0.264663534973301,"169"
"13","FLA KEYS","Agaricia",2002,162,0,1,0,0.0864197530864197,0.281854147745214,"169"
"14","FLA KEYS","Agaricia",2005,966,0,3,0,0.0507246376811594,0.258562171703207,"169"
"15","FLA KEYS","Agaricia",2009,948,0,2,0,0.0274261603375527,0.169747062689411,"169"
"16","FLA KEYS","Agaricia",2014,81,1,5,1,1.53086419753086,0.822897620501579,"3022"
"17","FLA KEYS","Agaricia",2015,5,1,1,1,1,0,"3022"
"18","FLA KEYS","Agaricia",2016,13,1,4,1,1.46153846153846,0.967417922046845,"3022"
"19","FLA KEYS","Agaricia",2018,16,1,5,1,1.9375,1.34008706184835,"3022"
"20","FLA KEYS","Antillogorgia",1999,400,0,0,0,0,0,"169"
"21","FLA KEYS","Antillogorgia",2000,230,0,0,0,0,0,"169"
"22","FLA KEYS","Antillogorgia",2001,415,0,2,0,0.108433734939759,0.36156023254467,"169"
"23","FLA KEYS","Antillogorgia",2002,135,0,1,0,0.0296296296296296,0.170194828689207,"169"
"24","FLA KEYS","Antillogorgia",2005,805,0,2,0,0.0248447204968944,0.191560447281697,"169"
"25","FLA KEYS","Antillogorgia",2009,790,0,3,0,0.0367088607594937,0.246484645883867,"169"
"26","FLA KEYS","Briareum",1999,80,0,0,0,0,0,"169"
"27","FLA KEYS","Briareum",2000,46,0,0,0,0,0,"169"
"28","FLA KEYS","Briareum",2001,83,0,1,0,0.0481927710843374,0.215475337156518,"169"
"29","FLA KEYS","Briareum",2002,27,0,5,0,0.407407407407407,1.08341551299083,"169"
"30","FLA KEYS","Briareum",2005,161,0,6,0,0.397515527950311,1.10272108387383,"169"
"31","FLA KEYS","Briareum",2009,158,0,5,0,0.265822784810127,0.801413731099451,"169"
"32","FLA KEYS","Cladocora",1999,80,0,0,0,0,0,"169"
"33","FLA KEYS","Cladocora",2000,46,0,0,0,0,0,"169"
"34","FLA KEYS","Cladocora",2001,83,0,0,0,0,0,"169"
"35","FLA KEYS","Cladocora",2002,27,0,0,0,0,0,"169"
"36","FLA KEYS","Cladocora",2005,161,0,0,0,0,0,"169"
"37","FLA KEYS","Cladocora",2009,158,0,0,0,0,0,"169"
"38","FLA KEYS","Colpophyllia",1999,80,0,2,0,0.2,0.51311903028489,"169"
"39","FLA KEYS","Colpophyllia",2000,46,0,7,0,0.565217391304348,1.37682684964851,"169"
"40","FLA KEYS","Colpophyllia",2001,83,0,10,0,0.409638554216867,1.4401570424048,"169"
"41","FLA KEYS","Colpophyllia",2002,27,0,5,0,0.37037037037037,1.00568186390926,"169"
"42","FLA KEYS","Colpophyllia",2005,161,0,16,0,0.763975155279503,2.06916507301348,"169"
"43","FLA KEYS","Colpophyllia",2009,158,0,9,0,0.278481012658228,0.94345494440448,"169"
"44","FLA KEYS","Colpophyllia",2014,58,1,16,4,5.06896551724138,3.96856980277427,"3022"
"45","FLA KEYS","Colpophyllia",2015,24,1,14,3.5,4.25,3.36542522670193,"3022"
