"","Coral Region","Genus","Year","Number of Samples","Minimum Value (Percent Cover)","Maximum Value (Percent Cover)","Median (Percent Cover)","Mean (Percent Cover)","Standard Deviation (Percent Cover)","Programs with Data"
"1","SE FL","Acropora",2016,1,14,14,14,14,NA,"3022"
"2","SE FL","Agaricia",2000,1,10,10,10,10,NA,"3024"
"3","SE FL","Agaricia",2014,1,1,1,1,1,NA,"3022"
"4","SE FL","Agaricia",2016,4,2,2,2,2,0,"3022"
"5","SE FL","Agaricia",2018,1,2,2,2,2,NA,"3022"
"6","SE FL","Antillogorgia",2000,19,0,0,0,0,0,"3024"
"7","SE FL","Antillogorgia",2001,13,0,0,0,0,0,"3024"
"8","SE FL","Antillogorgia",2002,8,0,0,0,0,0,"3024"
"9","SE FL","Carijoa",1997,29,0,0,0,0,0,"3024"
"10","SE FL","Carijoa",1999,1,0,0,0,0,NA,"3024"
"11","SE FL","Carijoa",2000,15,0,0,0,0,0,"3024"
"12","SE FL","Carijoa",2001,22,0,0,0,0,0,"3024"
"13","SE FL","Carijoa",2002,21,0,0,0,0,0,"3024"
"14","SE FL","Cladocora",1997,1,0,0,0,0,NA,"3024"
"15","SE FL","Cladocora",2001,2,0,0,0,0,0,"3024"
"16","SE FL","Dendrogyra",2000,5,5,15,15,11,5.47722557505166,"3024"
"17","SE FL","Dichocoenia",2014,2,1,1,1,1,0,"3022"
"18","SE FL","Dichocoenia",2018,1,1,1,1,1,NA,"3022"
"19","SE FL","Diodogorgia",1997,16,0,0,0,0,0,"3024"
"20","SE FL","Diodogorgia",1998,4,0,0,0,0,0,"3024"
"21","SE FL","Diodogorgia",2000,16,0,0,0,0,0,"3024"
"22","SE FL","Diploria",2014,3,1,1,1,1,0,"3022"
"23","SE FL","Diploria",2016,1,1,1,1,1,NA,"3022"
"24","SE FL","Erythropodium",2014,61,1,24,3,5.04918032786885,4.82502583588315,"3022"
"25","SE FL","Eusmilia",1999,8,0,0,0,0,0,"3024"
"26","SE FL","Eusmilia",2000,3,0,0,0,0,0,"3024"
"27","SE FL","Eusmilia",2001,14,0,0,0,0,0,"3024"
"28","SE FL","Eusmilia",2014,4,1,1,1,1,0,"3022"
"29","SE FL","Gorgonia",2000,1,0,0,0,0,NA,"3024"
"30","SE FL","Leptogorgia",2000,3,0,0,0,0,0,"3024"
"31","SE FL","Leptogorgia",2001,1,0,0,0,0,NA,"3024"
"32","SE FL","Madracis",2001,9,0,0,0,0,0,"3024"
"33","SE FL","Madracis",2014,4,1,1,1,1,0,"3022"
"34","SE FL","Madracis",2016,6,1,1,1,1,0,"3022"
