"","Coral Region","Coral Group","Year","Number of Samples","Minimum Value (Percent Cover)","Maximum Value (Percent Cover)","Median (Percent Cover)","Mean (Percent Cover)","Standard Deviation (Percent Cover)","Programs with Data"
"1","SE FL","Milleporans",2000,10,1,5,2,2.4,1.50554530541816,"3024"
"2","SE FL","Milleporans",2014,23,1,3,1,1.26086956521739,0.619192384874173,"3022"
"3","SE FL","Milleporans",2016,36,1,2,1,1.08333333333333,0.280305955290694,"3022"
"4","SE FL","Milleporans",2018,19,1,2,1,1.31578947368421,0.477566932940919,"3022"
"5","SE FL","Octocoral",1997,56,0,0,0,0,0,"3024"
"6","SE FL","Octocoral",1998,11,0,0,0,0,0,"3024"
"7","SE FL","Octocoral",1999,1,0,0,0,0,NA,"3024"
"8","SE FL","Octocoral",2000,61,0,0,0,0,0,"3024"
"9","SE FL","Octocoral",2001,71,0,0,0,0,0,"3024"
"10","SE FL","Octocoral",2002,40,0,0,0,0,0,"3024"
"11","SE FL","Octocoral",2014,61,1,24,3,5.04918032786885,4.82502583588315,"3022"
"12","SE FL","Scleractinian",1997,9,0,0,0,0,0,"3024"
"13","SE FL","Scleractinian",1999,15,0,0,0,0,0,"3024"
"14","SE FL","Scleractinian",2000,32,0,15,0,2.03125,4.7279837822439,"3024"
"15","SE FL","Scleractinian",2001,64,0,0,0,0,0,"3024"
"16","SE FL","Scleractinian",2002,9,0,0,0,0,0,"3024"
"17","SE FL","Scleractinian",2014,100,1,5,1,1.25,0.701729465267237,"3022"
"18","SE FL","Scleractinian",2016,114,1,14,1,2.19298245614035,2.52027949349932,"3022"
"19","SE FL","Scleractinian",2018,66,1,5,1,1.27272727272727,0.713506068012676,"3022"
"20","SE FL","Zoanthid",2014,18,1,14,1,2.61111111111111,3.23835268378464,"3022"
"21","SE FL","Zoanthid",2016,20,1,12,2.5,4,3.612842589838,"3022"
"22","SE FL","Zoanthid",2018,12,1,17,3,4.83333333333333,4.95127776590564,"3022"
