"","Region","Genus","Fixed Effects Intercept","Effect of Year","Fixed Effects Std.Error","Fixed Effects df","Fixed Effects t-value","Fixed Effects p-value","Random Effects Intercept (SD)","Random Effects Residual (SD)","Log-restricted-likelihood","Number of Observations","Number of Groups"
"1","Florida Keys","Agaricia",-142.906793573998,0.0713740170353456,0.00348551155875381,649,20.477343377643,2.86618682889243e-72,0.431263214825261,0.233055303140256,-804.848326337396,3445,651
"2","Florida Keys","Colpophyllia",-367.237586441199,0.183596224377313,0.0171153754922084,625,10.7269761309586,9.32008205695382e-25,1.43158097588493,1.63537502744832,-1438.65434842577,655,627
"3","Florida Keys","Dichocoenia",-153.949171389414,0.0768953061989357,0.00907220555270634,619,8.47592195218692,1.7071611150145e-16,1.07354801408249,0.252645065949851,-949.963975642749,629,621
"4","Florida Keys","Diploria",-61.1821942932514,0.0305803172699198,0.00347148699028807,573,8.80899665056276,1.50008964208849e-17,0.231706452714148,0.259802632511982,-216.961839917421,578,575
"5","Florida Keys","Millepora",-192.875664358918,0.0964704363646495,0.00494219309514846,847,19.5197626857903,2.34865471087478e-70,0.508403936591055,0.861427229419701,-2112.23846000444,1500,849
"6","Florida Keys","Montastraea",-274.332830308197,0.137399848974087,0.0191537987721005,686,7.17350383644123,1.90003457514917e-12,1.5738480287764,2.36563279884907,-1777.69891326186,721,688
"7","Florida Keys","Orbicella",-478.287883261493,0.238967957135915,0.0175492486711654,672,13.6169907677333,1.82353235396823e-37,2.03094730430538,1.89988018844563,-5484.67537090782,2401,674
"8","Florida Keys","Palythoa",-338.151072077409,0.170004625690029,0.0307089356924135,733,5.53599862244745,4.31266906063977e-08,2.82446582271588,4.0181181494572,-2424.74394109603,806,735
"9","Florida Keys","Porites",-218.283488455891,0.109067041051928,0.00568009188653446,809,19.2016332183795,5.37142545753137e-68,0.797286130374117,0.807636126854867,-5922.18373254456,4335,811
"10","Florida Keys","Siderastrea",-414.358301352134,0.207250428257126,0.0121643839627993,906,17.0374783376563,1.12407343642093e-56,1.44617613681716,2.21770946770439,-3902.65748938783,1644,908
"11","Florida Keys","Solenastrea",-89.1233157000648,0.0445062585779748,0.00374199184635514,581,11.8937347822726,2.38968201737942e-29,0.379443328916614,0.130505100430529,-133.831956503004,1144,583
"12","Florida Keys","Stephanocoenia",-228.852118777188,0.114431016865138,0.00671539062345548,741,17.0401132683859,3.45878194586357e-55,0.612806746434719,0.907986130158512,-1203.23709767086,795,743
