"","Managed Area Name","Year","Number of Samples","Minimum Value (Total Nitrogen mg/L)","Maximum Value (Total Nitrogen mg/L)","Median (Total Nitrogen mg/L)","Mean (Total Nitrogen mg/L)","Standard Deviation (Total Nitrogen mg/L)","Programs with Data"
"1","Alligator Harbor Aquatic Preserve",2001,30,2e-04,0.0012,0.00065,0.00063,0.000235108192262553,"514"
"2","Alligator Harbor Aquatic Preserve",2002,48,1e-04,9e-04,4e-04,0.000447916666666667,0.000211367969285122,"514"
"3","Alligator Harbor Aquatic Preserve",2003,6,3e-04,7e-04,0.00045,5e-04,0.000167332005306815,"514"
"4","Alligator Harbor Aquatic Preserve",2006,72,1e-04,8e-04,3e-04,0.00035,0.000166994981791855,"514"
"5","Alligator Harbor Aquatic Preserve",2007,77,1e-04,9e-04,4e-04,0.000403896103896104,0.000180234904062769,"514"
"6","Alligator Harbor Aquatic Preserve",2008,77,1e-04,8e-04,3e-04,0.000311688311688312,0.000125628971237599,"514"
"7","Alligator Harbor Aquatic Preserve",2009,56,1e-04,8e-04,3e-04,0.000330357142857143,0.000153646161218375,"514"
"8","Alligator Harbor Aquatic Preserve",2010,35,2e-04,9e-04,3e-04,0.000368571428571429,0.000179495090169503,"514"
"9","Alligator Harbor Aquatic Preserve",2011,14,1e-04,5e-04,2e-04,0.000242857142857143,0.000122249969100425,"514"
"10","Alligator Harbor Aquatic Preserve",2016,28,2e-04,0.0012,4e-04,0.000525,0.000251845043480959,"514"
"11","Alligator Harbor Aquatic Preserve",2017,84,2e-04,0.0011,4e-04,0.000452380952380952,0.000233607739637109,"514"
"12","Alligator Harbor Aquatic Preserve",2018,84,2e-04,0.0013,4e-04,0.000447619047619048,0.000233607739637109,"514"
"13","Alligator Harbor Aquatic Preserve",2019,70,1e-04,9e-04,3e-04,0.00036,0.000189889365195876,"514"
"14","Apalachicola Bay Aquatic Preserve",2000,113,0,0.73,0.004,0.175769911504425,0.254010615949749,"5002"
"15","Apalachicola Bay Aquatic Preserve",2001,315,0,4.3,0.028,0.184984126984127,0.350153955769281,"5002"
"16","Apalachicola Bay Aquatic Preserve",2002,890,0,0.94,0.007,0.0980561797752809,0.178191745887961,"5002;355"
"17","Apalachicola Bay Aquatic Preserve",2003,697,0,0.696,0.007,0.0769784791965567,0.132545593311526,"5002;355"
"18","Apalachicola Bay Aquatic Preserve",2004,668,0,0.487,0.0035,0.0415658682634731,0.0769274478751006,"355"
"19","Apalachicola Bay Aquatic Preserve",2005,588,0,0.709,0,0.0744302721088435,0.123767712178012,"355"
"20","Apalachicola Bay Aquatic Preserve",2006,522,0,0.592,0.0035,0.0524291187739464,0.112825922660415,"355"
"21","Apalachicola Bay Aquatic Preserve",2007,615,0,1.4,5e-04,0.0691321951219512,0.175856274148026,"5002;355;514"
"22","Apalachicola Bay Aquatic Preserve",2008,426,0,0.438,0,0.0374274647887324,0.0743319962562552,"355;514"
"23","Apalachicola Bay Aquatic Preserve",2009,436,0,0.475,0.004,0.0610940366972477,0.100478134460126,"355"
"24","Apalachicola Bay Aquatic Preserve",2010,309,0,0.493,0.004,0.0645177993527508,0.11608982684301,"355"
"25","Apalachicola Bay Aquatic Preserve",2011,240,0,0.526,0.003,0.0347041666666667,0.0827977824939384,"355"
"26","Apalachicola Bay Aquatic Preserve",2012,316,0,0.336,0,0.0190126582278481,0.0415469881003783,"355"
"27","Apalachicola Bay Aquatic Preserve",2013,634,0,1.417,0.0495,0.292753943217666,0.396319285040896,"355"
"28","Apalachicola Bay Aquatic Preserve",2014,818,0,1.31,0.3,0.330432762836186,0.328813799980283,"355"
"29","Apalachicola Bay Aquatic Preserve",2015,845,0,1.01,0.28,0.301132544378698,0.284338283849286,"355"
"30","Apalachicola Bay Aquatic Preserve",2016,795,0,1,0.24,0.320850314465409,0.320260385220902,"355"
"31","Apalachicola Bay Aquatic Preserve",2017,812,0,1.51,0.2,0.31812315270936,0.353070473372328,"355"
"32","Apalachicola Bay Aquatic Preserve",2018,700,0,1.329,0.205,0.323545714285714,0.35006348808432,"355"
"33","Apalachicola Bay Aquatic Preserve",2019,705,0,1.12,0.3,0.2854,0.276319744383863,"355"
